Sentence,Manual_Annotation,Matched_Terms
"In this paper, we present the design and evaluation of a mobile solution, called FETCH, for allowing the visually impaired to track and locate objects they lose frequently but for which they do not have a specific strategy for tracking.",1,visually impaired
We focus on description of sign language input and output modality.,0,sign language
"Currently, Deaf and hard of hearing (D/HH) callers using mobile phones cannot place a video or captioned based call to a Telecommunication Relay Services (TRS) Communication Assistant (CA) using the carrier assigned mobile phone number.",0,hard of hearing
The software package of Audio Formatting of a Graph (AFG) is primarily designed for people who are visually challenged to study graph theory.,1,challenged
"Head-mounted displays can provide private and glanceable speech and sound feedback to deaf and hard of hearing people, yet prior systems have largely focused on speech transcription.",0,hard of hearing
"When preparing to visit new locations, sighted people often look at maps to build an a priori mental representation of the environment as a sequence of step-by-step actions and points of interest (POIs), e.g., turn right after the coffee shop.",0,mental
"In this work, we discuss the disorientation factors that resulted from three user studies, which were conducted to formulate the basic requirements for an orientation assistive technology to assist visually impaired individuals in unfamiliar indoor areas.",1,visually impaired
Since blind people are unable to perceive this visual information there is a special need to enable them to navigate through such a non-linear document.,0,special
"Conversely, in adaptations for visually impaired children, these environments tend to become poorer, damaging the story at the cost of the programming actions and its dull mechanics (e.g., place a arrow block to move the character forward).",1,visually impaired
"In this work, we present a platform for continuously monitor and guide stroke patient at home during Activities of the Daily Living.",0,patient
This paper describes a therapeutic full-body controlled video game for children with attention deficit / hyperactivity disorder (ADHD).,0,disorder
"Packet loss affects all of speech recognition, mental effort, and speech quality ratings.",0,mental
"Limb repositioning is particularly valuable for individuals with physical disabilities who are either bed or chair-bound, to help reduce the occurrence of contractures and pressure ulcers.",1,bound
"Despite advances in assistive technology, relatively few visually impaired students participate in computer science courses.",1,visually impaired
"Although tactile mice, such as the VT Player by virTouch, have been developed to enable access to 2-D graphical information by individuals who are blind and visually impaired, they have yet to really be adapted by the community.",1,visually impaired
"We found that the majority of participants in this study preferred a compact device that looks most similar to a normal pair of glasses, preferred buttons as an inconspicuous mode of interaction, and are willing to carry support devices up to the size of a tablet to increase the functionality of the device.",0,normal
User testing with nondisabled users suggests that we have designed and built an eye-cursor and eye drawing control system that can be used by almost anyone with normal control of their eyes.,1,normal
"This project solves an extensive problem not only seen by visually impaired people, but by all software developers in general.",1,visually impaired
"As sign languages are often the native languages for members of the Deaf community, text captioning can be inaccessible, highlighting the importance of sign language interpretation.",0,sign language
The contribution made by this research has enabled the visually impaired to read and write in Indian vernaculars with the help of a computer.,1,visually impaired
"Performance of the system was assessed using a survey knowledge task in which participants were exposed to three different cue combinations: audio only, audio with haptic cues provided by the tablet--s built-in vibrational motor (built-in tactile), and audio with haptic feedback provided by special vibrating rings worn on two fingers (stereo-tactile).",0,special
But visually impaired people have difficulties to use such a software application.,1,visually impaired
This enables blindfolded users to build a mental occupancy grid of the environment.,0,mental
"ShopTalk, a proof-of-concept system designed to assist individuals with visual impairments with finding shelved products in grocery stores, is built on the assumption that simple verbal route directions and layout descriptions can be used to leverage the O&amp;M skills of independent visually impaired travelers to enable them to navigate the store and retrieve shelved products.",1,visually impaired
Aphasia is an acquired language disorder resulting from trauma or injury to language areas of the brain.,0,disorder
"Based on the cooking practices, we also conducted semi-structured interviews with 12 visually impaired people who have cooking experience and show existing challenges, concerns, and risks in cooking (e.g., tracking the status of tasks in progress, verifying whether things are peeled or cleaned thoroughly).",1,visually impaired
This paper examines a computer-based technique for the detection of visuo-spatial neglect from the responses of a simple geometric shape copying task.,0,simple
Results from a formative study with five visually impaired individuals informed the design of the system.,1,visually impaired
We conducted interviews with ten parents to investigate their current sign language learning experiences and to gather feedback on the ZINinNGT prototype.,0,sign language
This paper describes our ongoing research on the TAIG system which is a part of a larger system whose long term goal is to enable visually impaired users to gain access to the content of information graphics and therefore benefit from these valuable resources.,1,visually impaired
With this special Sudoku puzzle we can help more people to get involved in computer games and contribute to develop logic thinking and concentration in students.,0,special
This property is especially important to effectively train visually impaired individuals on new applications and interfaces remotely because it allows them to view exactly the same information simultaneously with their sighted trainers.,1,visually impaired
"We present here a new system, in which signing avatars (computer-animated virtual humans built from motion capture recordings) teach introductory American Sign Language (ASL) in an immersive virtual environment.",0,sign language
"We implemented a prototype on Android and tested its usability with visually impaired participants; they welcomed its multimodality and the familiar layout, but also expressed the need to increase vibration pattern differentiation and refine the character selection mechanism.",1,visually impaired
"In collaboration with NGOs dedicated to supported employment programs, we propose the use of MGuider in public transit systems: a novel mobile guiding and tracking service, to increase work and life independence for cognitive-impaired patients such as people with traumatic brain injury, cerebral palsy, mental retardation, schizophrenia, dementia, and Alzheimer's disease.",1,mental
"We developed DanceCraft, a whole-body interface to augment dance therapy for children with autism.",1,children with autism
Our discussion includes economic considerations crucial for a broad dissemination of tactile maps for both blind and visually impaired people.,1,visually impaired
"Three categories of parameters are covered: (1) narrowband (NB) versus wideband (WB) audio; (2) encoding audio at varying bit rates, ranging from typical rates used in today's telecom networks to the highest quality supported by these audio codecs; and (3) absence of packet loss to worst-case packet loss in VoIP telephony.",0,typical
We demonstrated the experiment with six visually impaired people and six sighted people.,1,visually impaired
"MAPS (Multimodal Application for the Perception of Spaces) is a tablet App, with associated hardware, for providing on-the-go access to audio-tactile maps of unfamiliar indoor venues to individuals who are blind or visually impaired.",1,visually impaired
"Typically, a substantial amount of staff intervention is required for a special education teacher to correct hand-mouthing behavior.",1,special
"The hypothesis defined was that it was possible to produce tools that could reduce the input needed to adapt the games for people with special needs but achieving a good level of usability, resulting in a reduction of the cost and effort required.",1,special needs
"Major findings included: (a) the social aspects of gaming were highly valued; (b) therapists had varied physical, cognitive and social goals when using games; and (c) therapists made game decisions primarily based on familiarity versus choosing games that best match therapeutic goals and patient profiles.",0,patient
"Naively narrating web pages, particularly the ones consisting of several diverse pieces (e.g., news summaries, opinion pieces, taxonomy, ads), with TTS engines without organizing them into thematic segments will make it very difficult for the blind user to mentally separate out and comprehend the essential elements in a segment, and the effort to do so can cause significant cognitive stress.",0,the blind
"While there is extensive research to learn how data scientists use computational notebooks, identify their pain points, and enable collaborative data science practices, very little is known about the various accessibility barriers experienced by blind and visually impaired (BVI) users using these notebooks.",1,visually impaired
"Concluding our experience report, we address this dilemma by discussing the two sides of its fundamental challenge: Inadequate communication with and insufficient representation of sign language users within research.",0,sign language
"With the popularity of robotics in both pre-college and introductory programming classes, such an environment has the potential to better accommodate students who are visually impaired.",1,visually impaired
"Once clinically validated, we hope these approaches will enable accurate mapping of visual distortion and eventually lead to the development of ‘digital glasses’ capable of correcting the effects of metamorphopsia and restoring healthy vision.",0,healthy
This survey-based study investigated deaf and hard of hearing (DHH) individuals' perceived need for technologies that may facilitate communication when meeting in small groups with hearing colleagues.,0,hard of hearing
"This work points to exciting potential of patient-centered digital phenotyping to benefit patients’ understanding of themselves, and push forward a paradigm of ethical data report-back.",0,patient
This application can be useful especially for deaf or hard of hearing people to be alerted of audio events happening around them.,0,hard of hearing
Indoor navigation is a challenging task for visually impaired people.,1,visually impaired
Previous VR sound accessibility work substituted sounds with visual or haptic output to increase VR accessibility for deaf and hard of hearing (DHH) people.,0,hard of hearing
People who are deaf or hard of hearing require correction of the fundamental frequency that usually is achieved by help of a phonodiologist.,0,hard of hearing
"In this paper, we report on the results from an empirical study we conducted that showed that the simple insertion of pauses inside spoken mathematical expressions dramatically improved subjects' ability to disambiguate between two similar algebraic expressions.",0,simple
Other studies have found that visually impaired users are hindered in their cognition of the content of Web-pages because users must wait for an entire Web-page to be read before deciding on it's usefulness to their current task.,1,visually impaired
"Our web interface, hosted at www.tactilemaps.net, allows visually impaired individuals to create maps of any location on the globe while specifying (1) what features to map, (2) how the features should be represented by textures, and (3) where to place markers and labels.",1,visually impaired
"To explore the opportunities and challenges of such an endeavor, we document the process undertaken to build a braille keyboard for a one-handed blind person over the course of 18-months.",0,blind person
"In this paper, we present APlus, a corpus of French Sign Language that includes motion capture, video and eye-tracker data.",0,sign language
This proposed research aims to advance inclusive audiovisual aids for outdoor navigation and public transportation by leveraging insights gained from state-of-the-art research on maps for visually impaired individuals.,1,visually impaired
"In a user with 14 visually impaired participants, we compared leashed quadcopter navigation, free-floating quadcopter navigation, and traditional audio navigation.",1,visually impaired
"However, when considering Deaf and Hard of Hearing (DHH) individuals as target group, we argue that such an approach is incompatible with the latter’s own ability-based identification concepts.",0,hard of hearing
"A small sampling of users suggests that such adaptations to caption display are preferred by a majority of users, whether they are deaf, hard of hearing or hearing.",0,hard of hearing
"Study 2 (N=14 blind or visually impaired participants) found that single-motor feedback with four motors was faster, more accurate, and most preferred compared to similar feedback with eight motors.",1,visually impaired
"Roughly 1 in 3 people around the world are affected by cognitive or mental disabilities at some point in their lives, yet people often face a variety of barriers when seeking support and receiving diagnosis from healthcare professionals.",0,mental
"Wearable fitness devices have demonstrated the capacity to improve overall physical activity, which can lead to physical and mental health improvements as well as quality of life gains.",0,mental
The evaluation discussed in this paper explores the role that underlying facial expressions might have regarding understandability in sign language avatars.,0,sign language
This paper presents both a hearing instructor's experiences and a deaf researcher's observations when preparing deaf and hard of hearing students as computer technicians for the hearing work place.,0,hard of hearing
The use of Braille for music causes difficulties for the blind student: new meanings for the Braille symbols have to be learned and the reading of the music is not immediate.,0,the blind
The Multimedia Dictionary of American Sign Language (MM-DASL) is a Macintosh application designed to function as a bilingual (ASL-English) dictionary.,0,sign language
"We have designed a virtual coach system, in which an animated character engages users in simulated face-to-face conversation to provide health education and motivate healthy behavior.",0,healthy
"Current web-based maps do not provide visibility into real-time elevator outages at urban rail transit stations, disenfranchising commuters (e.g., wheelchair users) who rely on functioning elevators at transit stations.",0,wheelchair user
The large synthetic datasets provide possibilities for advancing sign language recognition and analysis.,0,sign language
The two studies conducted with able-bodied and motor-impaired users showed that subjects performed better with SmartKey than with traditional virtual keyboard.,1,able-bodied
"Fidgeting, a behavior traditionally frowned upon, has been shown to help people with ADHD in concentration, emotional and mental state management, and energy regulation.",0,mental
"Currently, no commercial pedestrian safety training products are available for public special education schools.",1,special
Animations of American Sign Language (ASL) and Pidgin Signed English (PSE) have accessibility benefits for many signers with lower levels of written language literacy.,0,sign language
Using line drawings allows us to run the application with simple 3D models without loss of essential information while achieving images which can be transferred very quickly over a network.,0,simple
"empowers DHH players to play sign language-based quizzes either individually or in competitive settings, as well as to create their own quiz content.",0,sign language
In this contribution we propose a set of 6 sonification techniques to recognize simple shapes on touchscreen devices.,0,simple
"Using Internet Archive's Wayback Machine, a random sample of websites from 1997-2002 were retrospectively analyzed for effects that technology has on accessibility for persons with disabilities and compared to government websites.",0,persons with disabilities
Animations of American Sign Language (ASL) have accessibility benefits for many signers with lower levels of written language literacy.,0,sign language
In this paper we address the lack of accessibility in fantasy sports for visually impaired users and discuss the accessible fantasy sports system that we have designed using auditory displays.,1,visually impaired
The Web has become a new information resource for the blind.,1,the blind
"In this new, virtual environment, accessibility barriers changed, in some respects for the better (e.g., more flexibility) and in other aspects, for the worse (e.g., problems including American Sign Language interpreters over video calls).",0,sign language
"Refreshable tactile displays that move with the hand, such as those that resemble computer mice, can be utilized to display tactile graphics faster and more cost effectively to individuals who are blind and visually impaired than traditional paper methods of creating tactile diagrams.",1,visually impaired
A consequence is that people who are deaf or hard of hearing (DHH) may be unable to use these speech-controlled devices.,0,hard of hearing
"Eight percent of gestures that participants designed were with their head, neck, and shoulders, rather than their hands and fingers, demonstrating the importance of tracking the whole upper-body.",0,whole
"Deaf and Hard of Hearing (DHH) students are under-served and under-represented in education in part because they miss spoken classroom information, even with aural-to-visual accommodations, such as a real-time speech to text Display (SD).",0,hard of hearing
The features of Facetop Tablet were iteratively designed according to feedback from members of the Deaf community.,0,the deaf
"Seeking to enable direct and equal access for the Deaf to emergency call centers, we analyze the current state of the emergency phone system in the United States and elsewhere in the world.",1,the deaf
Results from an evaluation with seven visually impaired persons reveal to what extent these methods facilitate object localization in a virtual haptic 3d environment.,1,visually impaired
Researchers have investigated various methods to help users search for the meaning of an unfamiliar word in American Sign Language (ASL).,0,sign language
"We introduce SlidePacer, a tool that promotes coordination between instructors and sign language interpreters, creating a single instructional unit and synchronizing verbal and visual information sources.",0,sign language
There is a gap in our understanding of whether these environments are currently accessible for Deaf and Hard of Hearing (DHH) people.,0,hard of hearing
Our research contributes to expanding sports participation opportunities for the visually impaired and fostering a more inclusive sports environment.,1,visually impaired
Two sets of model simulations were tested against the actual performance of able-bodied and spinal cord injured subjects.,1,able-bodied
"Therefore, this paper introduces a novel music interface for visually impaired people using daily goods and stationery on the table.",1,visually impaired
An  important  finding  is  that  our  evaluation  techniques  of  patient  abilities  tends  to  show  greater  abilities  than  show  in  clinical  testing  These  abilities  can  be  used  in  participatory  design  to  greatly  enhance  the  clinical  outcome.,0,patient
Real-time computer feedback systems (CFS) have been shown to impact the communication of neurologically typical individuals.,1,typical
"This paper explores automated modification of text to make it more accessible for people with dyslexia, a reading disorder affecting a significant percentage of the global population.",0,disorder
"In this work, we leverage the animation capabilities of modern screens to create the first animated character system prototype for sign language, producing text that combines iconic symbols and movement.",0,sign language
There is a substantial population of wheelchair users who do not have the motor capabilities needed to efficiently operate a power wheelchair on their own.,0,wheelchair user
The developed tools use special access switch based scanning technique for easy navigation in different applications.,0,special
This study investigates whether auditory cues improves a visually impaired programmer's ability to navigate and understand source code in a block-based language.,1,visually impaired
"Most competitive exertion games are highly reliant on visual cues, presenting a certain risk for visually impaired players.",1,visually impaired
"This work describes factors that affect behaviour during meal preparation by Indian visually impaired persons, and the various strategies used to mitigate challenges faced.",1,visually impaired
The biggest factor that prevents investigations of bare lifestyles of visually impaired people is the privacy issue caused by video recording.,1,visually impaired
"We refine our insights into lessons learnt from this process, outlining implications for policy makers, researchers and designers, academic community, as well as for the disabled community.",0,the disabled
Twenty-six blind persons conducted the tests and the evaluation results have shown the degree of acceptance of the technology and the feasibility of the proposed approach.,0,blind person
"We propose a simple technique for detecting camera shake, using the smartphone's built-in accelerometer (i.e. tilt sensor) to alert the user in real-time to any shake, providing feedback that enables him/her to hold the camera more steadily.",0,simple
Deaf and hard of hearing students must juggle their visual attention in current classroom settings.,0,hard of hearing
This paper introduces an application for creating words and sentences of sign language as animated gesture sequences.,0,sign language
"Deaf and hard of hearing individuals need accommodations that transform aural to visual information, such as captions that are generated in real-time to enhance their access to spoken information in lectures and other live events.",0,hard of hearing
"These findings are applied to our experimental mobile phone application, MobileASL, which enables real-time sign language communication for Deaf users at low bandwidths over the U.S. 3G cellular network.",0,sign language
Individuals with Autism Spectrum Disorder (ASD) often engage in stereotypical behaviors.,0,disorder
"In this piece of work, among the prominent themes that stood out in our findings, we further discuss communication and collaboration, specifically multi-modal communication (verbal and non-verbal) among users and how multi-modal communication affected their collaboration in the environment.",0,non-verbal
This paper reports the challenges faced when developing a device for this patient group and environment.,0,patient
"Technology workers are often stereotyped as being socially awkward or having difficulty communicating, often with humorous intent; however, for many technology workers with atypical cognitive profiles, such issues are no laughing matter.",0,atypical
Results from a series of 3 studies involving 29 students who are deaf or hard-of-hearing suggest that viewing properly configured video of sign language narration in an HMD may increase learning in this setting.,0,hard of hearing
"The promise of affordable, automatic approaches to real-time captioning imagines a future in which deaf and hard of hearing (DHH) users have immediate access to speech in the world around them my simply picking up their phone or other mobile device.",0,hard of hearing
One of the greatest challenges to the visually impaired student in science and mathematics disciplines is the reading and writing of complex mathematical equations or have convenient access to information based tools such as the world wide web.,1,visually impaired
Automatic speech recognition (ASR) programs that generate real-time speech-to-text captions can be provided as supplemental access technologies for deaf and hard of hearing (DHH) students in higher education classes.,0,hard of hearing
The expected results will provide visually impaired musicians with a new way of producing music but also will provide academic research on material and technologies that can be used for future accessibility tools.,1,visually impaired
The results clearly show that it is possible to include persons with mental and cognitive disabilities.,0,mental
"The paper briefly discusses the advantages and disadvantages of using speech at the user interface; it outlines the user- centered approach employed in developing the system; it introduces the formal model of the user interface in terms of its conceptual, semantic, syntactic, lexical and acoustic levels; it describes the SUITEKeys system architecture which consists of symbolic, statistical, and connectionist components; it presents a pilot study for assessing the effectiveness of speech as an alternate input modality for motor-control challenged users; and closes with directions for future research.",1,challenged
Bone-conduction headphones were deployed along with audio splitters for use with an auditory graphing software program in a classroom for the visually impaired.,1,visually impaired
"Non-visual feedback (e.g., auditory and haptic) has been used as directional cues for the blind and visually impaired (BVI) users.",1,the blind
"For screenreader users who are blind or visually impaired (VI), today's mobile devices, while reasonably accessible, are not necessarily efficient.",1,visually impaired
"We categorized those activities into four groups: mental health, cognitive activities, healthcare and rehabilitation, and routine activities.",0,mental
Adding American Sign Language (ASL) versions of information content to websites can improve information accessibility for many people who are Deaf or Hard of Hearing (DHH) who may have lower levels of English literacy.,0,hard of hearing
Making information more accessible to the disabled has obvious synergistic benefits for non-handicapped people alike as reflected by the importance of the concept of workforce diversification for overcoming unexpected future challenges and potential stumbling blocks.,1,handicapped
"We foresee the opportunity for Augmenta11y to be an accessible, low-cost assistive reading solution for dyslexic children with little to no access to educational specialists or after-school practices.",0,dyslexic
"Although visually impaired people can access digital information by using computers, GUIs make it difficult for them to do so.",1,visually impaired
Older adult care technologies are increasingly explored to support the independent living of older adults by monitoring their abnormal activities and informing caregivers to provide intervention if necessary.,0,abnormal
Field tests over several days showed that JBrick has the potential to accommodate students who are visually impaired as they work together to program Lego Mindstorms NXT robots.,1,visually impaired
"To investigate sign language video intelligibility at lower settings, we conducted a laboratory study, where fluent ASL signers in pairs held real-time free-form conversations over an experimental smartphone app transmitting real-time video at 5 fps/25 kbps, 10 fps/50 kbps, 15 fps/75 kbps, and 30 fps/150 kbps, settings well below the ITU-T standard that save both bandwidth and battery life.",0,sign language
Our system is an omnipresent cellphone based indoor wayfinding system for the visually impaired.,1,visually impaired
The study involved eight expert wheelchair users and five healthcare professionals who routinely provide wheelchair services in their community.,0,wheelchair user
"Furthermore, the images resemble those used in printed teaching materials for sign language.",0,sign language
"Our findings show that users improve over time, even though it is at a slow rate (0.3 WPM per week).",0,slow
"For blind and visually impaired people, tactile reliefs offer many benefits over the more classic raised line drawings or tactile diagrams, as depth, 3D shape and surface textures are directly perceivable.",1,visually impaired
This paper investigates the accessibility issues associate with the information graphics for visually impaired people.,1,visually impaired
"With the quickly increasing of the deaf community, how to communicate with the hearing persons is becoming a serious social problem.",0,the deaf
"In this experience report, two deaf researchers with varying expertise, communication preferences, and technological skills document their experiences using Access on Demand (AoD), an Augmented Reality (AR) based accessibility application that provides on-demand real-time captioning and sign language interpretation services using the Vuzix Blade AR smart glasses.",0,sign language
"For a deaf or hard of hearing person who does not understand spoken language, following meetings can become confusing if there are too many simultaneous sources of information.",0,hard of hearing
The tool can analyze videos from diverse camera and background settings without specialized equipment thanks to a sign language segmentation and keyframe identification model.,0,sign language
Access to a variety of exercises is important for maintaining a healthy lifestyle.,0,healthy
"In doing so, we demonstrate recognition rates comparable to other state of the art handshape classifiers using simple na\'{\i}ve Bayesian classifiers that can run in real-time.",0,simple
"In this demo paper, we briefly present our experimental prototype, entitled EVIAC (EValuation of VIbration Accessibility), allowing visually impaired users to access simple contour-based images using vibrating touch screen technology.",1,visually impaired
"By integrating conductive elements into 3D printed tactile maps, they can be recognized by a single touch on the mobile device's display, which eases the handling for blind and visually impaired people.",1,visually impaired
"Accurate real-time depth camera-based tracking of limbs, fingers and faces would be of great use to the field of Sign Language Recognition (SLR).",0,sign language
We conducted a mixed methods longitudinal study with eight screen reader users and found that they entered characters with GestureCalc 40.5\% faster on average than with a typical touch screen calculator.,0,typical
"Many reading assistants and navigation systems have been designed specifically for people who are blind or visually impaired, but text locating in scene image with complex background has not yet been successfully addressed.",1,visually impaired
"To enlarge these datasets, we introduce SynSLaG, a tool that synthetically generates sign language datasets from 3D motion capture data.",0,sign language
The collaborative work of visually impaired people and sighted people on equal ground plays a significant role for visually impaired people's social advance in society.,1,visually impaired
"This research goes one step further, proposing and evaluating a penbased interaction technique based on to draw simple lines that improves the computer usability for novice older users.",0,simple
"Fully autonomous vehicles, commonly referred to as self-driving vehicles, are an emerging technology that may hold tremendous mobility potential for individuals who are blind or visually impaired who have been previously disadvantaged by an inability to operate conventional motor vehicles.",1,visually impaired
"Further, the experiment demonstrates that visually impaired users can develop meaningful drawings when given adequate technological support.",1,visually impaired
"Our pilot study results show that this application has the potential to address a great need within the blind community, but remaining challenges include improving photo capture and assembling a set of crowd workers with the requisite expertise.",0,the blind
"In an experiment performed to evaluate with the haptic direction indicator, we found that visually impaired users could safely walk along a predefined route at their usual walking pace, independent of the existence of auditory information.",1,visually impaired
"Psychosocial disability involves actual or perceived impairment due to a diversity of mental, emotional, or cognitive experiences.",0,mental
We present the design of an infra-red based active wayfinding system for the visually impaired.,1,visually impaired
"In this abstract, we discuss how Glance can be used to quickly code video of users with special needs interacting with a website by coding for whether or not websites conform with accessibility guidelines, in order to evaluate how accessible a website is and where potential problems lie.",1,special needs
"This paper presents Humsher -- a novel text entry method operated by the non-verbal vocal input, specifically the sound of humming.",0,non-verbal
"Verification is performed by applying a simple formula to sensor log data, for each activity of interest.",0,simple
"Second, mobile social networks are implemented in collaboration with a supported employment program set up for people with severe mental illness.",0,mental
"We discuss the impact of architectural visuals on the DHH student, accommodation team and discuss an automatic measure of a simple accessibility app and scale using face and body identification from a 360-degree video snapshot.",0,simple
"Although goal crossing has been studied for able-bodied users, its suitability for people with motor impairments is unknown.",1,able-bodied
"We describe the South African Sign Language Machine Translation project, and point out the role that the project is playing in the larger context of South African Sign Language and accessibility for the South African Deaf community.",0,sign language
The platform consists of a smart cup which embeds sensors that monitor the patient's hand and arm motor activity at different times of the day.,0,patient
This paper presents a gesture recognition architecture dedicated to Sign Languages.,0,sign language
Facial and head movements have important linguistic roles in American Sign Language (ASL) and other sign languages.,0,sign language
"This paper will explore the ways in which artwork is described to visually impaired individuals, and the details the visually impaired express interest in knowing about the artwork.",1,visually impaired
Previous studies have highlighted the importance of Braille for Visually impaired children by suggesting that students who read Braille outside of the classroom have higher reading speed and fluency.,1,visually impaired
"The findings include insights about behaviours, problems and strategies employed by visually impaired persons while preparing meals using the following techniques: Boiling, Simmering, Roasting, and Frying.",1,visually impaired
"Our next steps are to explore the idea with children who are deaf and their parents, develop design guidelines for sign language dictionary apps, build the app using those guidelines and then to test the app with children who are deaf and their hearing parents.",0,sign language
"In contrast, iNetSim is assessable by blind and vision impaired users, in addition to those with normal vision.",1,normal
"A simple PVC mat was designed with markers printed on it, on which a subject can walk whilst being recorded by a mobile phone camera.",0,simple
"Unlike most auditory games for the blind, which typically use screen readers, we made high quality voice recordings of the entire user interface for our game.",1,the blind
"However, most block-based programming languages are not accessible to blind and visually impaired users because they rely upon visual drag-and-drop interaction, and because they typically create visual output.",1,visually impaired
"Currently, locating sign language videos (SL videos) in such sharing sites relies on the existence and accuracy of tags, titles or other metadata indicating the content is in sign language.",0,sign language
"With this paper, we argue that the underlying philosophical position implied in this approach can be seen as reductionist as the disabled experience is arguably richer and often more complex as can be projected from the functional limitations of people.",0,the disabled
The study also showed that the blind reviewer is able to do simple editing tasks independently with our workstation.,0,the blind
We then deployed the system in a building and field tested it with ten visually impaired users.,1,visually impaired
"By using a more capable dialogue, rather than a simple command paradigm, the chair can leverage off of the user's perceptual capabilities in order to process natural, high-level commands such as take me to the desk, which initiates a conversation with the chair to determine which desk and -if it is not immediately detected by the chair's sensors - where the desk is located.",0,simple
This paper investigates the challenge of designing accessible data visualizations through the lens of crip technoscience.,0,crip
A rule-based program was written in Prolog to give advice about how to configure a computing system for users who have special needs.,1,special needs
"Using captioning as a case study, I explore ways that technology could support accessible social norms, achieved by first paying close attention to the social, environmental, and technical factors that shape access for d/Deaf and hard of hearing (DHH) captioning users.",0,hard of hearing
The percent improvements predicted by Model 1A differed from the actual improvements by 11 percentage points for able-bodied subjects and 53 percentage points for spinal cord injured subjects.,1,able-bodied
"Using model-based speech synthesis, it is now possible to retain the vocal identity of the patient with minimal data recordings and even deteriorating speech.",0,patient
"The proliferation of online dating platforms has provided new opportunities for deaf and hard of hearing (DHH) individuals to seek, build, and maintain romantic relationships.",0,hard of hearing
"Moreover, having a rough mental map enhanced orientation and confidence when traveling through the&nbsp;museum.",0,mental
"More than 100 persons with mental and cognitive disabilities participated in the study (people with diagnoses such as depression, anxiety disorder, bipolarity, and schizophrenia).",0,disorder
This research represents the initial stages of our efforts to establish a digital library run by visually impaired individuals.,1,visually impaired
"We present a context-aware aid system for the blind that merges three levels of assistance enhancing the intelligibility of the nearby entities: an exploration module to help gain awareness of the surrounding context, an alerting method for warning the user when a stumble is likely, and, finally, a recognition engine that retrieves natural targets previously learned.",1,the blind
"Therefore, the lifestyles of visually impaired people tend to be misunderstood by others; and even wrong stereotypes of them could be spread in society.",1,visually impaired
"Ergonomics data has been collected during the experiment and analyzed, showing the usability of such devices by VDP and hence also by Visually Impaired Peoples (VIP).",1,visually impaired
We conducted participatory design with a deaf-blind person and describe the lessons learned about designing an interface for a deaf-blind person.,0,blind person
"Advancements in AI will soon enable tools for providing automatic feedback to American Sign Language (ASL) learners on some aspects of their signing, but there is a need to understand their preferences for submitting videos and receiving feedback.",0,sign language
We have developed a web tool to allow visually impaired users to specify locations and customize 3D map models for production with 3D printers.,1,visually impaired
"Also, one blind person conducts an experiment of walking with a walking assistant.",0,blind person
"This paper introduces SlidePacer, a tool aimed at improving coordination between the instructor--s speech, the sign language interpretation of the lecture and the slide projection change.",0,sign language
This paper aims to understand individuals’ support-seeking behavior in social media as they adjust to their “new normal”—life with reduced mobility and sensation.,0,normal
This puts individuals who are blind or visually impaired (BVI) at a great disadvantage.,1,visually impaired
So we have been developing a new method which visually impaired people can intuitively recognize the map using audio and touch panels which are recently seen in PCs and smart-phones.,1,visually impaired
Deploying auxiliary location-based services to complement GPS-based services has been a recent phenomenon to enable greater independence in navigation and wayfinding for persons with disabilities in unfamiliar environments.,0,persons with disabilities
"Motion-capture recordings of sign language are used in research on automatic recognition of sign language or generation of sign language animations, which have accessibility applications for deaf users with low levels of written-language literacy.",0,sign language
We found that 3D design and printing performs three functions in special education: developing 3D design and printing skills encourages STEM engagement; 3D printing can support the creation of educational aids for providing accessible curriculum content; and 3D printing can be used to create custom adaptive devices.,1,special
"AfricaSign offers to users multiple input modes, accommodates regional variation in multiple sign languages and allows the use of avatar technology to describe signs.",0,sign language
"However, these systems are not designed for ad-hoc access to sound, which enables a deaf person to explore sound from various audio sources and receive real-time feedback.",0,deaf person
Our investigation draws on interviews conducted with 18 individuals who have complex health needs that include mental health symptoms.,0,mental
We administered a survey to visually impaired adults that gauged general interest in drone piloting and previous experience with drones.,1,visually impaired
We performed a formative study on four able-bodied children using an electric wheelchair.,1,able-bodied
"This paper reports on mechanisms that have been devised to build in accessibility into SGML encoded electronic documents, concentrating on the work done in the CAPS Consortium—Communication and Access to Information for People with Special Needs, a European Union funded project in the Technology Initiative for Disabled and Elderly People (TIDE) Programme—and by ICADD, the International Committee on Accessible Document Design.",1,special needs
"In resource constrained countries, such as Pakistan, the visually impaired students may acquire the knowledge of Urdu Braille at special education schools.",1,visually impaired
"To tackle the lack of wheelchair service information and training in low and middle-income countries (LMICs), we deployed Wheelpedia, a WhatsApp chatbot powered by a large language model (LLM) as a design probe for 2 months to concretely explore how it can support wheelchair users and professionals in Nigeria and Kenya.",0,wheelchair user
This paper presents a method to convert vector graphics into tactile representations for the blind.,1,the blind
"Previously, we have investigate four simple summarisation algorithms against each other and a manually created summary; producing empirical evidence as a formative evaluation.",0,simple
"Through in-depth interviews, we engaged with four primary caregivers of individuals with dementia, delving into how care-giving shapes their social interactions, mental equilibrium, and emotional states.",0,mental
Usability  tests  have  shown  that  simple  diagrams  can  be  read  by  blind  users  within  relative  short  time.,0,simple
"In special education under the guidance of a teacher, we use a Zigbee sensor network to assist a 9-year-old child with toilet training.",1,special
